company,price,change
Microsoft Corporation (MSFT),403.93,(-0.23%)
International Business Machines Corporation (IBM),187.42,(-1.58%)
General Electric Company (GE),131.19,(+0.97%)
Union Pacific Corporation (UNP),240.39,(-0.49%)
Costco Wholesale Corporation (COST),686.88,(+1.03%)
McDonald's Corporation (MCD),292.26,(-1.67%)
Visa Inc. (V),267.94,(-1.71%)
Walmart Inc. (WMT),164.27,(+0.88%)
The Walt Disney Company (DIS),95.36,(+0.53%)
3M Company (MMM),95.99,(+0.01%)
Intel Corporation (INTC),43.65,(-11.91%)
American Express Company (AXP),201.43,(+7.10%)
Apple Inc. (AAPL),192.42,(-0.90%)
The Boeing Company (BA),205.47,(+1.78%)
"Cisco Systems, Inc. (CSCO)",52.14,(-0.36%)
"The Goldman Sachs Group, Inc. (GS)",377.79,(-1.28%)
JPMorgan Chase & Co. (JPM),172.28,(-0.38%)
"Salesforce, Inc. (CRM)",279.94,(+0.33%)
Verizon Communications Inc. (VZ),42.40,(+0.26%)
